Photo_ID,Original_ID,Serial_number,filename,width,height,resolutions,Catalogue_number,Accepted Name,Genus,Species,Abbreviation,Subspecific Taxon Text,Authorship,Verification Status
15,394660_03,394660,015.jpg,2560,2048,2560_2048,K:MSB-000394660,Polystachya rosea,Polystachya,rosea,,,Ridl.,Field identification by specialist verified
16,394660_04,394660,016.jpg,2560,2048,2560_2048,K:MSB-000394660,Polystachya rosea,Polystachya,rosea,,,Ridl.,Field identification by specialist verified
17,394660_05,394660,017.jpg,2560,2048,2560_2048,K:MSB-000394660,Polystachya rosea,Polystachya,rosea,,,Ridl.,Field identification by specialist verified
18,394969_00,394969,018.jpg,2560,2048,2560_2048,K:MSB-000394969,Polystachya cultriformis,Polystachya,cultriformis,,,(Thouars) Lindl. ex Spreng.,Field identification by specialist verified
19,394969_01,394969,019.jpg,2560,2048,2560_2048,K:MSB-000394969,Polystachya cultriformis,Polystachya,cultriformis,,,(Thouars) Lindl. ex Spreng.,Field identification by specialist verified
20,394969_02,394969,020.jpg,2560,2048,2560_2048,K:MSB-000394969,Polystachya cultriformis,Polystachya,cultriformis,,,(Thouars) Lindl. ex Spreng.,Field identification by specialist verified
21,394969_03,394969,021.jpg,2560,2048,2560_2048,K:MSB-000394969,Polystachya cultriformis,Polystachya,cultriformis,,,(Thouars) Lindl. ex Spreng.,Field identification by specialist verified
22,394981_00,394981,022.jpg,2560,2048,2560_2048,K:MSB-000394981,Jumellea arborescens,Jumellea,arborescens,,,H.Perrier,Identification by collector unverified
23,394981_01,394981,023.jpg,2560,2048,2560_2048,K:MSB-000394981,Jumellea arborescens,Jumellea,arborescens,,,H.Perrier,Identification by collector unverified
24,394992_00,394992,024.jpg,2560,2048,2560_2048,K:MSB-000394992,Bulbophyllum edentatum,Bulbophyllum,edentatum,,,H.Perrier,Field identification by specialist verified
25,394992_01,394992,025.jpg,2560,2048,2560_2048,K:MSB-000394992,Bulbophyllum edentatum,Bulbophyllum,edentatum,,,H.Perrier,Field identification by specialist verified
26,394992_02,394992,026.jpg,2560,2048,2560_2048,K:MSB-000394992,Bulbophyllum edentatum,Bulbophyllum,edentatum,,,H.Perrier,Field identification by specialist verified
27,394992_03,394992,027.jpg,2560,2048,2560_2048,K:MSB-000394992,Bulbophyllum edentatum,Bulbophyllum,edentatum,,,H.Perrier,Field identification by specialist verified
28,394992_04,394992,028.jpg,2560,2048,2560_2048,K:MSB-000394992,Bulbophyllum edentatum,Bulbophyllum,edentatum,,,H.Perrier,Field identification by specialist verified
29,458911,458911,029.jpg,2560,2048,2560_2048,K:MSB-000458911,Epidendrum montserratense,Epidendrum,montserratense,,,Nir,Verified by Kew
30,458911_01,458911,030.jpg,2560,2048,2560_2048,K:MSB-000458911,Epidendrum montserratense,Epidendrum,montserratense,,,Nir,Verified by Kew
31,458911_02,458911,031.jpg,2560,2048,2560_2048,K:MSB-000458911,Epidendrum montserratense,Epidendrum,montserratense,,,Nir,Verified by Kew
32,458911_03,458911,032.jpg,2560,2048,2560_2048,K:MSB-000458911,Epidendrum montserratense,Epidendrum,montserratense,,,Nir,Verified by Kew
33,494515,494515,033.jpg,2560,2048,2560_2048,K:MSB-000494515,Sobennikoffia robusta,Sobennikoffia,robusta,,,(Schltr.) Schltr.,Verified by other institution
34,524083_1,524083,034.jpg,1280,1024,1280_1024,K:MSB-000524083,Bulbophyllum,Bulbophyllum,,,,Thouars,Provisional identification
35,524083_2,524083,035.jpg,1280,1024,1280_1024,K:MSB-000524083,Bulbophyllum,Bulbophyllum,,,,Thouars,Provisional identification
36,524083_3,524083,036.jpg,2560,2048,2560_2048,K:MSB-000524083,Bulbophyllum,Bulbophyllum,,,,Thouars,Provisional identification
37,534246_00,534246,037.jpg,2560,2048,2560_2048,K:MSB-000534246,Angraecum,Angraecum,,,,Bory,Provisional identification
38,534246_01,534246,038.jpg,2560,2048,2560_2048,K:MSB-000534246,Angraecum,Angraecum,,,,Bory,Provisional identification
39,605759,605759,039.jpg,1280,1024,1280_1024,K:MSB-000605759,Beclardia macrostachya,Beclardia,macrostachya,,,(Thouars) A.Rich.,Verified by Kew
40,605760_00,605760,040.jpg,2560,2048,2560_2048,K:MSB-000605760,Aerangis,Aerangis,,,,Rchb.f.,Provisional identification
41,605760_01,605760,041.jpg,2560,2048,2560_2048,K:MSB-000605760,Aerangis,Aerangis,,,,Rchb.f.,Provisional identification
42,605760_02,605760,042.jpg,2560,2048,2560_2048,K:MSB-000605760,Aerangis,Aerangis,,,,Rchb.f.,Provisional identification
43,623241,623241,043.jpg,2560,2048,2560_2048,K:MSB-000623241,Sobennikoffia robusta,Sobennikoffia,robusta,,,(Schltr.) Schltr.,Verified by Kew
44,641375_01_c,641375,044.jpg,2560,2048,2560_2048,K:MSB-000641375,Polystachya cornigera,Polystachya,cornigera,,,Schltr.,Verified by Kew
45,641375_02_c,641375,045.jpg,2560,2048,2560_2048,K:MSB-000641375,Polystachya cornigera,Polystachya,cornigera,,,Schltr.,Verified by Kew
46,641375_03_c,641375,046.jpg,2560,2048,2560_2048,K:MSB-000641375,Polystachya cornigera,Polystachya,cornigera,,,Schltr.,Verified by Kew
47,641319_00,641319,047.jpg,2560,2048,2560_2048,K:MSB-000641319,Polystachya anceps,Polystachya,anceps,,,Ridl.,Verified by Kew
48,641319_01,641319,048.jpg,2560,2048,2560_2048,K:MSB-000641319,Polystachya anceps,Polystachya,anceps,,,Ridl.,Verified by Kew
49,641319_02,641319,049.jpg,2560,2048,2560_2048,K:MSB-000641319,Polystachya anceps,Polystachya,anceps,,,Ridl.,Verified by Kew
50,641319_03,641319,050.jpg,2560,2048,2560_2048,K:MSB-000641319,Polystachya anceps,Polystachya,anceps,,,Ridl.,Verified by Kew
51,641319_04,641319,051.jpg,2560,2048,2560_2048,K:MSB-000641319,Polystachya anceps,Polystachya,anceps,,,Ridl.,Verified by Kew
52,641319_05,641319,052.jpg,2560,2048,2560_2048,K:MSB-000641319,Polystachya anceps,Polystachya,anceps,,,Ridl.,Verified by Kew
53,641319_06,641319,053.jpg,2560,2048,2560_2048,K:MSB-000641319,Polystachya anceps,Polystachya,anceps,,,Ridl.,Verified by Kew
54,641319_070,641319,054.jpg,2560,2048,2560_2048,K:MSB-000641319,Polystachya anceps,Polystachya,anceps,,,Ridl.,Verified by Kew
55,641319_071,641319,055.jpg,2560,2048,2560_2048,K:MSB-000641319,Polystachya anceps,Polystachya,anceps,,,Ridl.,Verified by Kew
56,641319_072,641319,056.jpg,2560,2048,2560_2048,K:MSB-000641319,Polystachya anceps,Polystachya,anceps,,,Ridl.,Verified by Kew
57,641319_08.jpg0,641319,057.jpg,2560,2048,2560_2048,K:MSB-000641319,Polystachya anceps,Polystachya,anceps,,,Ridl.,Verified by Kew
58,641319_08.jpg1,641319,058.jpg,2560,2048,2560_2048,K:MSB-000641319,Polystachya anceps,Polystachya,anceps,,,Ridl.,Verified by Kew
59,641319_08.jpg2,641319,059.jpg,2560,2048,2560_2048,K:MSB-000641319,Polystachya anceps,Polystachya,anceps,,,Ridl.,Verified by Kew
60,641319_08.jpg3,641319,060.jpg,2560,2048,2560_2048,K:MSB-000641319,Polystachya anceps,Polystachya,anceps,,,Ridl.,Verified by Kew
61,641319_c,641319,061.jpg,2560,2048,2560_2048,K:MSB-000641319,Polystachya anceps,Polystachya,anceps,,,Ridl.,Verified by Kew
62,641319_02_c,641319,062.jpg,2560,2048,2560_2048,K:MSB-000641319,Polystachya anceps,Polystachya,anceps,,,Ridl.,Verified by Kew
63,641319_03_c,641319,063.jpg,2560,2048,2560_2048,K:MSB-000641319,Polystachya anceps,Polystachya,anceps,,,Ridl.,Verified by Kew
64,641319_04_c,641319,064.jpg,2560,2048,2560_2048,K:MSB-000641319,Polystachya anceps,Polystachya,anceps,,,Ridl.,Verified by Kew
65,641361_1,641364,065.jpg,2560,2048,2560_2048,K:MSB-000641364,Angraecum calceolus,Angraecum,calceolus,,,Thouars,Verified by Kew
66,641364_2,641364,066.jpg,2560,2048,2560_2048,K:MSB-000641364,Angraecum calceolus,Angraecum,calceolus,,,Thouars,Verified by Kew
67,641364_01_c,641364,067.jpg,2560,2048,2560_2048,K:MSB-000641364,Angraecum calceolus,Angraecum,calceolus,,,Thouars,Verified by Kew
68,641364_02_c,641364,068.jpg,2560,2048,2560_2048,K:MSB-000641364,Angraecum calceolus,Angraecum,calceolus,,,Thouars,Verified by Kew
69,641375_00,641375,069.jpg,2560,2048,2560_2048,K:MSB-000641375,Polystachya cornigera,Polystachya,cornigera,,,Schltr.,Verified by Kew
70,641375_01,641375,070.jpg,2560,2048,2560_2048,K:MSB-000641375,Polystachya cornigera,Polystachya,cornigera,,,Schltr.,Verified by Kew
71,641375_02,641375,071.jpg,2560,2048,2560_2048,K:MSB-000641375,Polystachya cornigera,Polystachya,cornigera,,,Schltr.,Verified by Kew
72,641375_03,641375,072.jpg,2560,2048,2560_2048,K:MSB-000641375,Polystachya cornigera,Polystachya,cornigera,,,Schltr.,Verified by Kew
73,657644_1_al,657644,073.jpg,2560,2048,2560_2048,K:MSB-000657644,Bulbophyllum trifarium,Bulbophyllum,trifarium,,,Rolfe,Verified by other institution
74,657644_2,657644,074.jpg,2560,2048,2560_2048,K:MSB-000657644,Bulbophyllum trifarium,Bulbophyllum,trifarium,,,Rolfe,Verified by other institution
75,657644_3,657644,075.jpg,2560,2048,2560_2048,K:MSB-000657644,Bulbophyllum trifarium,Bulbophyllum,trifarium,,,Rolfe,Verified by other institution
76,695965_1alive_nl,695965,076.jpg,2560,2048,2560_2048,K:MSB-000695965,Acampe pachyglossa,Acampe,pachyglossa,,,Rchb.f.,Verified by other institution
77,695965_2aliveish_nl,695965,077.jpg,2560,2048,2560_2048,K:MSB-000695965,Acampe pachyglossa,Acampe,pachyglossa,,,Rchb.f.,Verified by other institution
78,695965_nl_4alive,695965,078.jpg,2560,2048,2560_2048,K:MSB-000695965,Acampe pachyglossa,Acampe,pachyglossa,,,Rchb.f.,Verified by other institution
79,695965_01_cryo,695965,079.jpg,2560,2048,2560_2048,K:MSB-000695965,Acampe pachyglossa,Acampe,pachyglossa,,,Rchb.f.,Verified by other institution
80,695965_02_cryo,695965,080.jpg,2560,2048,2560_2048,K:MSB-000695965,Acampe pachyglossa,Acampe,pachyglossa,,,Rchb.f.,Verified by other institution
81,696250,696250,081.jpg,2560,2048,2560_2048,K:MSB-000696250,Jumellea pachyceras,Jumellea,pachyceras,,,Schltr.,Verified by other institution
82,696250_2,696250,082.jpg,2560,2048,2560_2048,K:MSB-000696250,Jumellea pachyceras,Jumellea,pachyceras,,,Schltr.,Verified by other institution
83,696250_3,696250,083.jpg,2560,2048,2560_2048,K:MSB-000696250,Jumellea pachyceras,Jumellea,pachyceras,,,Schltr.,Verified by other institution
84,696250_01_cryo,696250,084.jpg,2560,2048,2560_2048,K:MSB-000696250,Jumellea pachyceras,Jumellea,pachyceras,,,Schltr.,Verified by other institution
85,696250_02_cryo,696250,085.jpg,2560,2048,2560_2048,K:MSB-000696250,Jumellea pachyceras,Jumellea,pachyceras,,,Schltr.,Verified by other institution
86,696261,696261,086.jpg,2560,2048,2560_2048,K:MSB-000696261,Angraecum compactum,Angraecum,compactum,,,Schltr.,Verified by other institution
87,696261_cryo_0,696261,087.jpg,2560,2048,2560_2048,K:MSB-000696261,Angraecum compactum,Angraecum,compactum,,,Schltr.,Verified by other institution
88,696261_cryo_1,696261,088.jpg,2560,2048,2560_2048,K:MSB-000696261,Angraecum compactum,Angraecum,compactum,,,Schltr.,Verified by other institution
89,696272_1,696272,089.jpg,2560,2048,2560_2048,K:MSB-000696272,Bulbophyllum occlusum,Bulbophyllum,occlusum,,,Ridl.,Verified by other institution
90,696272_2,696272,090.jpg,2560,2048,2560_2048,K:MSB-000696272,Bulbophyllum occlusum,Bulbophyllum,occlusum,,,Ridl.,Verified by other institution
91,696272_3,696272,091.jpg,2560,2048,2560_2048,K:MSB-000696272,Bulbophyllum occlusum,Bulbophyllum,occlusum,,,Ridl.,Verified by other institution
92,696272_cryo_0,696272,092.jpg,2560,2048,2560_2048,K:MSB-000696272,Bulbophyllum occlusum,Bulbophyllum,occlusum,,,Ridl.,Verified by other institution
93,696272_cryo_1,696272,093.jpg,2560,2048,2560_2048,K:MSB-000696272,Bulbophyllum occlusum,Bulbophyllum,occlusum,,,Ridl.,Verified by other institution
94,696272_cryo_2,696272,094.jpg,2560,2048,2560_2048,K:MSB-000696272,Bulbophyllum occlusum,Bulbophyllum,occlusum,,,Ridl.,Verified by other institution
95,708144_cryo_0,708144,095.jpg,2560,2048,2560_2048,K:MSB-000708144,Microcoelia exilis,Microcoelia,exilis,,,Lindl.,Verified by Kew
96,708144_cryo_1,708144,096.jpg,2560,2048,2560_2048,K:MSB-000708144,Microcoelia exilis,Microcoelia,exilis,,,Lindl.,Verified by Kew
97,708144_cryo_3,708144,097.jpg,2560,2048,2560_2048,K:MSB-000708144,Microcoelia exilis,Microcoelia,exilis,,,Lindl.,Verified by Kew
98,764887_nl_1alive,764887,098.jpg,2560,2048,2560_2048,K:MSB-000764887,Bulbophyllum occlusum,Bulbophyllum,occlusum,,,Ridl.,Verified by Kew
99,764887_nl_3alive,764887,099.jpg,2560,2048,2560_2048,K:MSB-000764887,Bulbophyllum occlusum,Bulbophyllum,occlusum,,,Ridl.,Verified by Kew
100,764887_nl_4alive,764887,100.jpg,2560,2048,2560_2048,K:MSB-000764887,Bulbophyllum occlusum,Bulbophyllum,occlusum,,,Ridl.,Verified by Kew
101,764_nl_5ishalive,764887,101.jpg,2560,2048,2560_2048,K:MSB-000764887,Bulbophyllum occlusum,Bulbophyllum,occlusum,,,Ridl.,Verified by Kew
102,764887_4alive_1cryo,764887,102.jpg,2560,2048,2560_2048,K:MSB-000764887,Bulbophyllum occlusum,Bulbophyllum,occlusum,,,Ridl.,Verified by Kew
103,764887_4alive_2cryo,764887,103.jpg,2560,2048,2560_2048,K:MSB-000764887,Bulbophyllum occlusum,Bulbophyllum,occlusum,,,Ridl.,Verified by Kew
104,764887_4alive_3cryo,764887,104.jpg,2560,2048,2560_2048,K:MSB-000764887,Bulbophyllum occlusum,Bulbophyllum,occlusum,,,Ridl.,Verified by Kew
105,764935_1,764935,105.jpg,2560,2048,2560_2048,K:MSB-000764935,Jumellea maxillarioides,Jumellea,maxillarioides,,,(Ridl.) Schltr.,Field identification by specialist verified
106,764935_2,764935,106.jpg,2560,2048,2560_2048,K:MSB-000764935,Jumellea maxillarioides,Jumellea,maxillarioides,,,(Ridl.) Schltr.,Field identification by specialist verified
107,764935_1_cryo,764935,107.jpg,2560,2048,2560_2048,K:MSB-000764935,Jumellea maxillarioides,Jumellea,maxillarioides,,,(Ridl.) Schltr.,Field identification by specialist verified
108,764935_2_cryo,764935,108.jpg,2560,2048,2560_2048,K:MSB-000764935,Jumellea maxillarioides,Jumellea,maxillarioides,,,(Ridl.) Schltr.,Field identification by specialist verified
109,764935_3_cryo,764935,109.jpg,2560,2048,2560_2048,K:MSB-000764935,Jumellea maxillarioides,Jumellea,maxillarioides,,,(Ridl.) Schltr.,Field identification by specialist verified
110,764946_1_cryo,764946,110.jpg,2560,2048,2560_2048,K:MSB-000764946,Jumellea lignosa,Jumellea,lignosa,,,(Schltr.) Schltr.,Verified by Kew
111,764946_1alive_2_cryo,764946,111.jpg,2560,2048,2560_2048,K:MSB-000764946,Jumellea lignosa,Jumellea,lignosa,,,(Schltr.) Schltr.,Verified by Kew
112,764946_3_cryo,764946,112.jpg,2560,2048,2560_2048,K:MSB-000764946,Jumellea lignosa,Jumellea,lignosa,,,(Schltr.) Schltr.,Verified by Kew
113,765013_0_cryo,765013,113.jpg,2560,2048,2560_2048,K:MSB-000765013,Bulbophyllum brevipetalum,Bulbophyllum,brevipetalum,,,H.Perrier,Verified by other institution
114,765013_1_cryo,765013,114.jpg,2560,2048,2560_2048,K:MSB-000765013,Bulbophyllum brevipetalum,Bulbophyllum,brevipetalum,,,H.Perrier,Verified by other institution
115,765013_2_cryo,765013,115.jpg,2560,2048,2560_2048,K:MSB-000765013,Bulbophyllum brevipetalum,Bulbophyllum,brevipetalum,,,H.Perrier,Verified by other institution
116,765035_1_cryo,765035,116.jpg,2560,2048,2560_2048,K:MSB-000765035,Oeonia rosea,Oeonia,rosea,,,Ridl.,Field identification by specialist verified
117,765035_2_cryo,765035,117.jpg,2560,2048,2560_2048,K:MSB-000765035,Oeonia rosea,Oeonia,rosea,,,Ridl.,Field identification by specialist verified
118,770732,770732,118.jpg,2560,2048,2560_2048,K:MSB-000770732,Domingoa haematochila,Domingoa,haematochila,,,(Rchb.f.) Carabia,Verified by other institution
119,770732_1,770732,119.jpg,1280,1024,1280_1024,K:MSB-000770732,Domingoa haematochila,Domingoa,haematochila,,,(Rchb.f.) Carabia,Verified by other institution
120,770732_2,770732,120.jpg,1280,1024,1280_1024,K:MSB-000770732,Domingoa haematochila,Domingoa,haematochila,,,(Rchb.f.) Carabia,Verified by other institution
121,770732_3,770732,121.jpg,2560,2048,2560_2048,K:MSB-000770732,Domingoa haematochila,Domingoa,haematochila,,,(Rchb.f.) Carabia,Verified by other institution
122,770743,770743,122.jpg,2560,2048,2560_2048,K:MSB-000770743,Psychilis monensis,Psychilis,monensis,,,Sauleda,Verified by other institution
123,770743_1,770743,123.jpg,2560,2048,2560_2048,K:MSB-000770743,Psychilis monensis,Psychilis,monensis,,,Sauleda,Verified by other institution
124,770743_2,770743,124.jpg,2560,2048,2560_2048,K:MSB-000770743,Psychilis monensis,Psychilis,monensis,,,Sauleda,Verified by other institution
125,770743_3,770743,125.jpg,2560,2048,2560_2048,K:MSB-000770743,Psychilis monensis,Psychilis,monensis,,,Sauleda,Verified by other institution
126,770751_1,770751,126.jpg,2560,2048,2560_2048,,,,,,,,
127,770751_2,770751,127.jpg,2560,2048,2560_2048,,,,,,,,
128,770751_3,770751,128.jpg,2560,2048,2560_2048,,,,,,,,
129,770751_4,770751,129.jpg,2560,2048,2560_2048,,,,,,,,
130,770751_5_2l,770751,130.jpg,2560,2048,2560_2048,,,,,,,,
131,770846,770846,131.jpg,2560,2048,2560_2048,K:MSB-000770846,Psychilis krugii,Psychilis,krugii,,,(Bello) Sauleda,Verified by other institution
132,770846_2,770846,132.jpg,2560,2048,2560_2048,K:MSB-000770846,Psychilis krugii,Psychilis,krugii,,,(Bello) Sauleda,Verified by other institution
133,770846_3,770846,133.jpg,2560,2048,2560_2048,K:MSB-000770846,Psychilis krugii,Psychilis,krugii,,,(Bello) Sauleda,Verified by other institution
134,770846_4,770846,134.jpg,2560,2048,2560_2048,K:MSB-000770846,Psychilis krugii,Psychilis,krugii,,,(Bello) Sauleda,Verified by other institution
135,783284_1,783284,135.jpg,2560,2048,2560_2048,K:MSB-000783284,Polystachya concreta,Polystachya,concreta,,,(Jacq.) Garay & H.R.Sweet,Verified by other institution
136,783284_1_nl,783284,136.jpg,2560,2048,2560_2048,K:MSB-000783284,Polystachya concreta,Polystachya,concreta,,,(Jacq.) Garay & H.R.Sweet,Verified by other institution
137,783284_1_nl_slide2,783284,137.jpg,2560,2048,2560_2048,K:MSB-000783284,Polystachya concreta,Polystachya,concreta,,,(Jacq.) Garay & H.R.Sweet,Verified by other institution
138,783284_1_nl_slide2_11,783284,138.jpg,2560,2048,2560_2048,K:MSB-000783284,Polystachya concreta,Polystachya,concreta,,,(Jacq.) Garay & H.R.Sweet,Verified by other institution
139,783284_1_nl2,783284,139.jpg,2560,2048,2560_2048,K:MSB-000783284,Polystachya concreta,Polystachya,concreta,,,(Jacq.) Garay & H.R.Sweet,Verified by other institution
140,783284_1_slide2_nl,783284,140.jpg,2560,2048,2560_2048,K:MSB-000783284,Polystachya concreta,Polystachya,concreta,,,(Jacq.) Garay & H.R.Sweet,Verified by other institution
141,783284_2,783284,141.jpg,2560,2048,2560_2048,K:MSB-000783284,Polystachya concreta,Polystachya,concreta,,,(Jacq.) Garay & H.R.Sweet,Verified by other institution
142,783284_3,783284,142.jpg,2560,2048,2560_2048,K:MSB-000783284,Polystachya concreta,Polystachya,concreta,,,(Jacq.) Garay & H.R.Sweet,Verified by other institution
143,814335,814335,143.jpg,2560,2048,2560_2048,K:MSB-000814335,Eulophia roempleriana,Eulophia,roempleriana,,,(Rchb.f.) M.W.Chase & Schuit.,Verified by other institution
144,814379,814379,144.jpg,2560,2048,2560_2048,K:MSB-000814379,Bulbophyllum elliotii,Bulbophyllum,elliotii,,,Rolfe,Field identification by specialist verified
145,814379_1,814379,145.jpg,2560,2048,2560_2048,K:MSB-000814379,Bulbophyllum elliotii,Bulbophyllum,elliotii,,,Rolfe,Field identification by specialist verified
146,814427,814427,146.jpg,2560,2048,2560_2048,K:MSB-000814427,Bulbophyllum nitens,Bulbophyllum,nitens,,,Jum. & H.Perrier,Field identification by specialist verified
147,814427_2,814427,147.jpg,2560,2048,2560_2048,K:MSB-000814427,Bulbophyllum nitens,Bulbophyllum,nitens,,,Jum. & H.Perrier,Field identification by specialist verified
148,814450_nl_1,814450,148.jpg,2560,2048,2560_2048,K:MSB-000814450,Bulbophyllum sulfureum,Bulbophyllum,sulfureum,,,Schltr.,Field identification by specialist verified
149,814450_nl_2,814450,149.jpg,2560,2048,2560_2048,K:MSB-000814450,Bulbophyllum sulfureum,Bulbophyllum,sulfureum,,,Schltr.,Field identification by specialist verified
150,814450_nl_3,814450,150.jpg,2560,2048,2560_2048,K:MSB-000814450,Bulbophyllum sulfureum,Bulbophyllum,sulfureum,,,Schltr.,Field identification by specialist verified
151,814494,814494,151.jpg,2560,2048,2560_2048,K:MSB-000814494,Angraecum,Angraecum,,,,Bory,Provisional identification
152,814494_1,814494,152.jpg,2560,2048,2560_2048,K:MSB-000814494,Angraecum,Angraecum,,,,Bory,Provisional identification
153,814494_2,814494,153.jpg,2560,2048,2560_2048,K:MSB-000814494,Angraecum,Angraecum,,,,Bory,Provisional identification
154,814508,814508,154.jpg,2560,2048,2560_2048,K:MSB-000814508,Aeranthes setipes,Aeranthes,setipes,,,Schltr.,Verified by other institution
155,814508_1,814508,155.jpg,2560,2048,2560_2048,K:MSB-000814508,Aeranthes setipes,Aeranthes,setipes,,,Schltr.,Verified by other institution
156,814519,814519,156.jpg,2560,2048,2560_2048,K:MSB-000814519,Aeranthes caudata,Aeranthes,caudata,,,Rolfe,Provisional identification
157,642372_00,642372,157.jpg,2560,2000,2560_2000,K:MSB-000642372,Cymbidium bicolor,Cymbidium,bicolor,,,Lindl.,Verified by Kew
158,642372_01,642372,158.jpg,2560,2000,2560_2000,K:MSB-000642372,Cymbidium bicolor,Cymbidium,bicolor,,,Lindl.,Verified by Kew
159,642372_02,642372,159.jpg,2560,1988,2560_1988,K:MSB-000642372,Cymbidium bicolor,Cymbidium,bicolor,,,Lindl.,Verified by Kew
160,642372_03,642372,160.jpg,2560,1994,2560_1994,K:MSB-000642372,Cymbidium bicolor,Cymbidium,bicolor,,,Lindl.,Verified by Kew
161,642372_04,642372,161.jpg,2560,2000,2560_2000,K:MSB-000642372,Cymbidium bicolor,Cymbidium,bicolor,,,Lindl.,Verified by Kew
162,649142_00,649142,162.jpg,2560,1994,2560_1994,K:MSB-000649142,Ansellia africana,Ansellia,africana,,,Lindl.,Verified by Kew
163,649142_01,649142,163.jpg,2560,1988,2560_1988,K:MSB-000649142,Ansellia africana,Ansellia,africana,,,Lindl.,Verified by Kew
164,649142_02,649142,164.jpg,2560,1994,2560_1994,K:MSB-000649142,Ansellia africana,Ansellia,africana,,,Lindl.,Verified by Kew
165,649142_03,649142,165.jpg,2560,1988,2560_1988,K:MSB-000649142,Ansellia africana,Ansellia,africana,,,Lindl.,Verified by Kew
166,642006_00,642006,166.jpg,2560,2000,2560_2000,K:MSB-000642006,Aeranthes virginalis,Aeranthes,virginalis,,,D.L.Roberts,Verified by Kew
167,642006_01,642006,167.jpg,2560,1988,2560_1988,K:MSB-000642006,Aeranthes virginalis,Aeranthes,virginalis,,,D.L.Roberts,Verified by Kew
168,642006_02,642006,168.jpg,2560,1994,2560_1994,K:MSB-000642006,Aeranthes virginalis,Aeranthes,virginalis,,,D.L.Roberts,Verified by Kew
169,642006_03,642006,169.jpg,2560,1994,2560_1994,K:MSB-000642006,Aeranthes virginalis,Aeranthes,virginalis,,,D.L.Roberts,Verified by Kew
170,642383_00,642383,170.jpg,2560,1994,2560_1994,K:MSB-000642383,Barkeria melanocaulon,Barkeria,melanocaulon,,,A.Rich. & Galeotti,Verified by Kew
171,642383_01,642383,171.jpg,2560,1988,2560_1988,K:MSB-000642383,Barkeria melanocaulon,Barkeria,melanocaulon,,,A.Rich. & Galeotti,Verified by Kew
172,642383_02,642383,172.jpg,2560,1994,2560_1994,K:MSB-000642383,Barkeria melanocaulon,Barkeria,melanocaulon,,,A.Rich. & Galeotti,Verified by Kew
173,642394_00,642394,173.jpg,2560,2048,2560_2048,K:MSB-000642394,Cymbidium bicolor,Cymbidium,bicolor,,,Lindl.,Verified by Kew
174,642394_01,642394,174.jpg,2560,2048,2560_2048,K:MSB-000642394,Cymbidium bicolor,Cymbidium,bicolor,,,Lindl.,Verified by Kew
175,642394_02,642394,175.jpg,2560,2048,2560_2048,K:MSB-000642394,Cymbidium bicolor,Cymbidium,bicolor,,,Lindl.,Verified by Kew
176,642394_03,642394,176.jpg,2560,2048,2560_2048,K:MSB-000642394,Cymbidium bicolor,Cymbidium,bicolor,,,Lindl.,Verified by Kew
